anahtar,konusmaci,sapma,f0,tini,seviye,z_f0,z_tini,z_seviye
D10O_F_TOMORROW,SPK_FATIH,4.2,93.0,1388.7,-24.0,1.6,5.2,1.3
D7_T_FAR_C,SPK_TOLGA,4.1,246.2,1890.9,-18.0,4.1,4.0,2.3
D8_C_TEA,SPK_CEMIL,4.1,195.1,1930.2,-18.1,4.1,1.7,1.6
D2_T_STUMBLE_3,SPK_TOLGA,4.0,242.4,1799.9,-16.9,4.0,3.3,3.1
D6A_C_03,SPK_CANDARLI,4.0,363.6,1747.8,-22.9,4.0,1.0,0.7
D9_LUTFI_TR2,SPK_LUTFI,4.0,250.0,1349.3,-19.2,4.0,0.9,1.4
REACT_CAMELEER_THERMOS,SPK_CAMELEER,4.0,280.7,1929.9,-25.0,4.0,1.3,1.6
D10Z_T_TITLE,SPK_TOLGA,3.9,101.3,658.0,-20.1,1.7,4.9,0.9
D13_W4_3,SPK_TOLGA,3.8,238.8,1574.3,-20.9,3.8,1.7,0.4
D10O_DERVISH_1,SPK_DERVISH,3.8,114.3,1515.5,-22.1,3.8,0.4,0.4
D7_THEO_CHAT,SPK_THEODOROS,3.8,129.8,2433.0,-23.9,3.8,2.6,0.1
D6A_T_C_02,SPK_TOLGA,3.7,197.8,1978.7,-19.4,2.2,4.6,1.4
REACT_CANDARLI_PHONE,SPK_CANDARLI,3.7,347.8,1829.6,-24.3,3.7,1.2,1.0
D10G_C_1,SPK_CAPTAIN,3.7,163.3,1672.5,-17.9,3.7,1.9,0.2
D2_T_ARROW_1,SPK_TOLGA,3.7,235.3,1405.6,-18.9,3.7,0.5,1.7
D6_LUTFI_THERMOS,SPK_LUTFI,3.7,242.4,1471.6,-18.4,3.7,1.9,1.8
D14_N_RESIGN_1,SPK_NIHAT,3.6,320.0,1330.3,-21.2,3.6,1.3,0.7
D2_H_07,SPK_HIKMET,3.6,320.0,3132.3,-17.5,0.3,4.5,1.7
D7_N_LOST_HEN,SPK_NIHAT,3.6,320.0,1169.4,-21.1,3.6,0.9,0.7
D9_T_ANSWER,SPK_TOLGA,3.6,233.6,1524.1,-20.1,3.6,1.3,0.9
MG_MAN_E_CAPTURE_3,SPK_EMPEROR,3.6,126.0,919.4,-17.1,3.6,1.3,2.0
REACT_EMPEROR_REPLAY_5,SPK_EMPEROR,3.6,126.0,840.2,-16.6,3.6,1.7,2.2
D8_C_BADGE,SPK_CEMIL,3.6,202.5,1360.6,-24.3,3.6,1.4,2.5
D13_H3_OPEN,SPK_HIKMET,3.6,381.0,2320.3,-18.3,3.6,0.3,1.2
D7_N_TRACE_MARKET,SPK_NIHAT,3.6,316.9,1445.4,-22.6,3.6,2.9,0.3
D9_P_FATIH,SPK_PASHA,3.5,161.6,1328.1,-26.9,3.5,1.9,2.1
D9_T_THEO_4,SPK_TOLGA,3.5,231.9,1397.1,-22.0,3.5,0.4,0.3
D4A_T_BLUFF,SPK_TOLGA,3.5,231.9,1515.8,-19.1,3.5,1.3,1.6
D10A_N_03,SPK_NIHAT,3.5,313.7,1319.5,-20.4,3.5,1.2,1.1
D7_N_HOLO_MARKET,SPK_NIHAT,3.5,313.7,1255.5,-21.9,3.5,0.3,0.1
D10H_T_FRANK_1,SPK_TOLGA,3.5,230.2,1389.3,-18.1,3.5,0.4,2.3
D4A_ITEM_TAPE_1,SPK_HUSEYIN,3.5,137.9,1249.2,-19.6,3.5,1.3,1.7
D7_HUSEYIN_HELLO,SPK_HUSEYIN,3.4,139.1,1491.1,-22.6,3.4,0.1,0.3
D12_T_CANNON_C,SPK_TOLGA,3.4,228.6,1766.9,-15.6,3.4,3.1,3.9
D6A_T_GOAT,SPK_TOLGA,3.4,228.6,1661.3,-20.6,3.4,2.3,0.6
D10L_G_MEET_2,SPK_GRANT,3.4,171.1,1581.4,-22.7,2.3,4.2,0.4
D12_END_12_6_3,SPK_FATIH,3.4,123.1,1307.2,-17.6,0.7,4.2,1.5
D8_H_G1,SPK_HIKMET,3.4,250.0,1947.3,-21.1,3.4,1.7,0.7
D9_P_AGAIN,SPK_PASHA,3.4,103.6,1645.2,-28.7,1.2,4.2,2.7
REACT_THEODOROS_THERMOS,SPK_THEODOROS,3.4,126.6,2096.2,-25.2,3.4,1.5,0.7
D10A_N_REFUSE,SPK_NIHAT,3.4,307.7,1255.0,-23.8,3.4,0.3,1.1
D6B_T_PECK,SPK_TOLGA,3.4,227.0,1554.7,-19.3,3.4,1.6,1.5
D7_N_HOLO_WALLS,SPK_NIHAT,3.4,307.7,1445.3,-24.4,3.4,2.9,1.5
D7_N_NO_TEA,SPK_NIHAT,3.4,307.7,1428.7,-20.4,3.4,2.6,1.1
D7_C_NOBODY,SPK_CANDARLI,3.3,323.3,1684.9,-23.2,3.3,0.9,0.8
D10G_N_AGAIN,SPK_NOTARY,3.2,222.2,1396.4,-11.8,3.2,2.0,5.1
D6A_C_REFUSED,SPK_CANDARLI,3.2,320.0,1268.6,-20.2,3.2,0.0,0.1
REACT_CANDARLI_LIGHTER,SPK_CANDARLI,3.2,320.0,1393.1,-23.6,3.2,0.3,0.9
D6B_C_COLOGNE,SPK_CLERK,3.2,108.1,1714.8,-25.7,3.2,1.6,2.5
D10H_K_SHAME,SPK_EMPEROR,3.2,94.1,1870.3,-24.0,1.2,4.0,0.6
D10A_T_02,SPK_TOLGA,3.1,222.2,1351.0,-19.2,3.1,0.1,1.5
MG_HAG_WINE_LOSE,SPK_WINE,3.1,258.1,1399.9,-19.2,3.1,1.4,1.8
D3_N_SHELLS_NO,SPK_NIHAT,3.1,296.3,1188.2,-22.5,3.1,0.6,0.2
D7_N_LOST_GOAT,SPK_NIHAT,3.1,296.3,1441.8,-22.1,3.1,2.8,0.0
D2_T_20,SPK_TOLGA,3.0,219.2,1639.5,-19.3,3.0,2.2,1.5
D2_T_SWIM_BUMP,SPK_TOLGA,3.0,169.3,1862.2,-21.3,1.0,3.8,0.1
D10G_T_SEASICK,SPK_TOLGA,3.0,102.6,1851.2,-24.5,1.7,3.7,2.0
D14_M_RESIGN,SPK_MUFIDE,2.9,296.4,1224.0,-21.2,2.9,0.5,0.5
D6B_NIHAT_PLAZA,SPK_NIHAT,2.9,290.9,1212.6,-26.6,2.9,0.3,3.0
D7_N_HOLO_CHANCERY,SPK_NIHAT,2.9,290.9,1275.2,-21.3,2.9,0.6,0.6
REACT_FISHMONGER_THERMOS,SPK_FISHMONGER,2.9,372.1,2857.0,-20.4,0.0,3.6,1.1
D6B_E_03,SPK_EMPEROR,2.9,121.2,923.2,-18.8,2.9,1.3,1.3
REACT_NOTARY_LIGHTER,SPK_NOTARY,2.9,148.1,1071.8,-22.1,2.9,1.1,1.3
D9_T_GALATA,SPK_TOLGA,2.8,173.9,1830.2,-21.4,1.2,3.5,0.1
REACT_FATIH_CUBE,SPK_FATIH,2.8,129.0,1247.0,-23.2,1.1,3.5,1.0
D10Z_F_WHO,SPK_FATIH,2.8,151.0,991.9,-22.1,2.8,0.5,0.5
D6_LUTFI_HELLO,SPK_LUTFI,2.8,202.5,1674.8,-18.6,2.1,3.5,1.7
D9_T_HERE,SPK_TOLGA,2.8,213.3,1438.1,-21.9,2.8,0.7,0.3
D10B_F_B3_5,SPK_FATIH,2.8,96.4,1243.7,-23.7,1.4,3.5,1.2
D3_N_TEA,SPK_NIHAT,2.8,283.7,1269.9,-19.4,2.8,0.5,1.8
D3_N_14,SPK_NIHAT,2.8,283.2,1036.1,-21.0,2.8,2.7,0.8
D7_N_FOUND_CELL2,SPK_NIHAT,2.8,283.2,1155.5,-21.7,2.8,1.1,0.3
D_GAL_NOTARY,SPK_NOTARY,2.8,216.2,1187.3,-20.0,2.8,0.0,0.1
D6B_C_BOOK,SPK_CLERK,2.7,171.4,2554.0,-29.7,1.0,1.6,4.6
REACT_FISHMONGER_COLOGNE,SPK_FISHMONGER,2.7,310.9,2132.4,-22.0,2.7,0.8,0.0
D15_G_W10,SPK_HIKMET,2.7,262.3,2040.8,-24.2,2.7,1.2,2.8
NPC_KID_THANKS_1,SPK_KID,2.7,340.4,1274.5,-18.7,2.7,0.1,0.7
MG_HAG_URBAN_SWEET,SPK_URBAN,2.7,372.1,2004.7,-19.4,2.7,0.3,0.5
D11_N_H_08,SPK_NIHAT,2.7,280.7,1109.7,-23.9,2.7,1.7,1.2
D13_H_PRESS,SPK_HIKMET,2.6,363.6,2372.8,-19.6,2.6,0.6,0.3
D7_N_WALL_KEPT,SPK_NIHAT,2.6,278.3,1049.5,-22.2,2.6,2.5,0.1
D10H_K_FRANK,SPK_EMPEROR,2.6,119.4,973.5,-16.4,2.6,1.0,2.2
D6B_N_E_04,SPK_NIKO,2.6,242.4,2374.6,-26.8,2.6,0.8,0.9
D7_N_WALL,SPK_NIHAT,2.6,275.9,1336.2,-25.2,2.6,1.4,2.0
D10L_T_MEET_3,SPK_TOLGA,2.6,207.8,1757.3,-21.9,2.6,3.0,0.3
D12_T_KEY_B,SPK_TOLGA,2.6,207.8,1290.2,-20.3,2.6,0.3,0.8
D2_T_STUMBLE_2,SPK_TOLGA,2.6,207.8,1552.2,-20.2,2.6,1.5,0.8
REACT_PASHA_COLOGNE,SPK_PASHA,2.6,149.5,1020.6,-18.6,2.6,0.4,0.8
D2_T_22,SPK_TOLGA,2.5,194.0,1779.7,-19.0,2.0,3.2,1.6
D4A_HA_STOP,SPK_HASAN,2.5,329.9,2468.5,-20.7,1.2,3.2,1.1
REACT_PAINTER_THERMOS,SPK_PAINTER,2.5,115.5,2023.4,-24.3,2.5,0.8,0.0
REACT_CLERK_PHONE,SPK_CLERK,2.5,195.1,2351.8,-19.9,2.5,0.8,0.5
REACT_NOTARY_THERMOS,SPK_NOTARY,2.5,213.3,1381.4,-17.9,2.5,1.8,1.4
D10Z_K_TASTE_OK_1,SPK_KADRI,2.5,266.7,1871.5,-28.9,2.5,0.9,2.5
D5_H_CONF_3,SPK_HIKMET,2.5,266.7,2069.7,-24.4,2.5,1.0,2.9
REACT_KADRI_COLOGNE,SPK_KADRI,2.5,266.7,1782.1,-29.4,2.5,1.5,2.9
REACT_DOUBLE_CUBE,SPK_DOUBLE,2.5,266.7,2336.5,-23.0,0.7,3.1,1.3
D11_N_ITEM_CUBE,SPK_NIHAT,2.5,271.5,1265.5,-21.7,2.5,0.4,0.3
D12_END_12_1_1,SPK_FATIH,2.5,123.1,690.3,-18.4,0.7,3.1,1.2
D6A_C_01,SPK_CANDARLI,2.5,273.5,1988.7,-23.5,2.5,1.5,0.8
D7_N_THEO_ASK,SPK_NIHAT,2.5,271.2,1230.0,-20.3,2.5,0.1,1.2
D10H_TH_ANSWER,SPK_THEODOROS,2.5,119.4,1888.4,-24.5,2.5,0.7,0.4
MG_HAG_NIKO_OPEN,SPK_NIKO,2.5,246.2,2274.1,-30.0,2.5,0.1,3.0
D12_END_12_3_1,SPK_FATIH,2.4,100.0,694.7,-22.5,1.1,3.0,0.7
D10L_T_RADIO,SPK_TOLGA,2.4,203.8,1439.7,-19.9,2.4,0.7,1.1
D12_END_12_4_1,SPK_FATIH,2.4,145.5,846.0,-19.2,2.4,1.2,0.8
REACT_FISHMONGER_CUBE,SPK_FISHMONGER,2.4,333.3,2263.8,-28.0,1.7,0.0,4.0
REACT_PAINTER_CUBE,SPK_PAINTER,2.4,114.3,1951.9,-25.4,2.4,0.5,0.7
ITEM_SELF_TAPE,SPK_TOLGA,2.4,202.5,1438.7,-21.0,2.4,0.7,0.3
D10H_T_OPEN_2,SPK_TOLGA,2.3,122.1,933.6,-22.2,0.9,2.9,0.5
D9_MINER_TR1,SPK_MINER,2.3,264.5,2770.4,-20.3,2.3,2.1,0.2
MG_MAN_E_OUCH_2,SPK_EMPEROR,2.3,117.6,1082.6,-22.6,2.3,0.4,0.1
D10B_H_RADIO_1,SPK_HIKMET,2.3,326.5,1711.4,-19.2,0.7,2.9,0.6
D1_H_23,SPK_HIKMET,2.3,280.7,1713.6,-18.1,1.8,2.9,1.3
D7_N_FOUND_OUT,SPK_NIHAT,2.3,264.6,1280.3,-22.3,2.3,0.6,0.1
D10B_U_B2_2,SPK_URBAN,2.3,275.9,1883.5,-23.3,2.3,1.3,2.1
D4A_ITEM_CUBE_2,SPK_HUSEYIN,2.3,355.6,1507.4,-22.2,2.3,0.2,0.0
D10B_U_EARS,SPK_URBAN,2.3,363.6,2106.9,-20.0,2.3,0.5,0.1
D10G_D_AGAIN,SPK_DOUBLE,2.3,202.5,1954.1,-21.9,2.3,0.1,0.8
D13_R_CARD,SPK_RIZA,2.3,207.8,2450.6,-19.1,2.3,0.6,0.0
D13_U3_FIRE,SPK_URBAN,2.3,363.6,2190.3,-16.7,2.3,1.2,2.3
REACT_NOTARY_BOOK,SPK_NOTARY,2.3,155.3,1237.7,-21.5,2.3,0.5,0.9
D10H_K_SAFE,SPK_EMPEROR,2.3,89.9,1662.6,-27.7,1.9,2.8,1.9
D10H_T_HELP,SPK_TOLGA,2.3,200.0,1365.5,-21.0,2.3,0.2,0.3
D12_T_LETTER,SPK_TOLGA,2.3,200.0,1276.5,-21.2,2.3,0.5,0.2
D13_T_1977_3,SPK_TOLGA,2.3,200.0,1441.8,-18.7,2.3,0.7,1.9
D7_N_GOAT,SPK_NIHAT,2.3,262.3,1070.8,-20.0,2.3,2.2,1.4
ITEM_SELF_LIGHTER_2,SPK_TOLGA,2.2,100.0,951.5,-21.7,1.8,2.8,0.2
D2_S_23,SPK_SOLDIER,2.2,131.7,2397.7,-27.8,0.9,1.1,3.7
D7_M_LOST,SPK_MUFIDE,2.2,285.7,1401.5,-23.8,2.2,1.9,1.1
D10B_KADRI_B3,SPK_KADRI,2.2,355.6,2105.4,-24.6,2.2,0.5,0.1
D12_F_CANNON_C,SPK_FATIH,2.2,103.9,716.9,-20.8,0.8,2.8,0.1
HIKMET_ITEM_COLOGNE,SPK_HIKMET,2.2,355.6,2363.1,-22.7,2.2,0.5,1.8
D9_MINER_TR3,SPK_MINER,2.2,207.8,2085.0,-26.1,1.7,0.8,3.7
D11_T_02,SPK_TOLGA,2.2,132.2,959.5,-19.5,0.5,2.8,1.4
D12_F_ITEM_POWERBANK,SPK_FATIH,2.2,142.9,988.7,-20.7,2.2,0.5,0.2
D4B_NIKO_COLOGNE,SPK_NIKO,2.2,333.3,2644.1,-23.6,0.9,2.7,1.2
D10Z_F_STAY,SPK_FATIH,2.2,120.3,1180.1,-23.4,0.5,2.7,1.1
D6_KADRI_COLOGNE,SPK_KADRI,2.2,273.5,2168.9,-30.7,2.1,0.9,3.6
D7_T_FAR_Y,SPK_TOLGA,2.2,197.5,1427.2,-18.6,2.2,0.6,1.9
D8_T_RADIO_A,SPK_TOLGA,2.2,197.5,1551.1,-20.9,2.2,1.5,0.4
D10B_F_B3_2P,SPK_FATIH,2.1,129.0,1176.8,-18.0,1.1,2.7,1.4
D11_N_WALL_TORN,SPK_NIHAT,2.1,258.1,1339.0,-23.2,2.1,1.4,0.7
D3_M_07,SPK_MUFIDE,2.1,262.3,1460.7,-21.7,0.7,2.7,0.1
D7_N_HOLO_ARTILLERY,SPK_NIHAT,2.1,258.1,1153.1,-21.4,2.1,1.1,0.5
D8_H_G3,SPK_HIKMET,2.1,273.5,2467.5,-23.3,2.1,1.1,2.2
D7_N_WARM,SPK_NIHAT,2.1,237.1,1430.3,-22.2,1.6,2.7,0.1
D3_N_END_31B,SPK_NIHAT,2.1,225.4,1429.2,-19.6,1.4,2.6,1.7
MG_HAG_WINE_WIN,SPK_WINE,2.1,242.4,1335.9,-17.7,2.1,0.9,2.7
D10A_N_FORM_3,SPK_NIHAT,2.1,163.3,1038.9,-19.5,0.1,2.6,1.7
D7_N_HOLO_PALACE,SPK_NIHAT,2.1,256.0,1218.1,-22.3,2.1,0.2,0.1
D10H_K_FRANK_1,SPK_EMPEROR,2.1,116.0,1137.8,-18.5,2.1,0.1,1.5
REACT_TAILOR_SELFIE,SPK_TAILOR,2.1,200.0,1990.8,-26.1,2.0,0.1,3.5
D10A_F_3,SPK_FATIH,2.1,127.0,1169.2,-15.8,1.0,2.6,2.4
D10H_L_04,SPK_LUTFI,2.1,202.5,1194.6,-20.8,2.1,0.3,0.6
D10O_T_INSIDE,SPK_TOLGA,2.1,115.9,979.2,-23.0,1.1,2.6,1.0
D4A_ITEM_BOOK_2,SPK_HUSEYIN,2.1,347.8,1733.1,-23.3,2.1,1.6,0.7
REACT_EMPEROR_LIGHTER,SPK_EMPEROR,2.1,93.6,1623.4,-25.5,1.3,2.6,1.1
D10B_U_CAST_SPILL,SPK_URBAN,2.1,359.6,2012.2,-18.3,2.1,0.3,1.3
D1_T_07,SPK_TOLGA,2.1,195.1,1692.5,-22.1,2.1,2.6,0.4
D2_T_FEZ_FOUND,SPK_TOLGA,2.1,195.1,1547.4,-21.2,2.1,1.5,0.2
D5_T_ACCIDENT_DISHES,SPK_TOLGA,2.1,195.1,1408.5,-20.5,2.1,0.5,0.7
D7_N_GATE,SPK_NIHAT,2.1,254.0,1237.3,-23.9,2.1,0.1,1.2
D7_N_HOLO_TENT,SPK_NIHAT,2.1,254.0,1212.6,-22.9,2.1,0.3,0.5
D12_F_ITEM_COLOGNE,SPK_FATIH,2.0,141.0,932.1,-18.2,2.0,0.2,1.2
REACT_URBAN_REPLAY_5,SPK_URBAN,2.0,280.7,2094.2,-21.2,2.0,0.4,0.7
D12_F_CANNON_A,SPK_FATIH,2.0,98.2,736.2,-21.8,1.2,2.5,0.4
D16_G_CATCH_1,SPK_HASAN,2.0,363.6,2307.4,-20.0,2.0,2.4,1.5
D4A_HA_ARGUE_1,SPK_HASAN,2.0,363.6,1944.3,-18.6,2.0,0.6,2.3
D10O_A_BEGIN,SPK_AGA,2.0,329.9,1703.7,-16.8,0.2,1.0,3.4
D10Z_BOTH,SPK_KADRI,2.0,275.9,2179.3,-20.5,2.0,1.0,2.2
D13_H_1977_2,SPK_HIKMET,2.0,275.9,2288.3,-21.8,2.0,0.1,1.2
D2_H_17,SPK_HIKMET,2.0,275.9,2389.7,-20.0,2.0,0.7,0.0
D2_T_25,SPK_TOLGA,2.0,193.9,1404.0,-20.7,2.0,0.5,0.5
D5_H_SPOT_CALENDAR,SPK_HIKMET,2.0,275.9,2101.1,-22.7,2.0,0.9,1.7
D4B_N_MERCHANT,SPK_NIKO,2.0,258.1,2097.5,-25.9,2.0,1.1,0.3
D6B_N_PLAZA,SPK_NIKO,2.0,258.1,2041.5,-25.9,2.0,1.5,0.3
MG_HAG_DOUBLE_NOSWEET,SPK_DOUBLE,2.0,216.2,1674.3,-15.4,1.6,2.5,1.9
D16_HU_GONE,SPK_HUSEYIN,2.0,344.1,1311.4,-23.1,2.0,0.9,0.6
D5_H_AFTER,SPK_HIKMET,2.0,326.5,2735.4,-20.5,0.7,2.5,0.3
D12_F_RETRY,SPK_FATIH,2.0,107.4,743.7,-22.0,0.5,2.5,0.4
MG_HAG_WINE_FAIR,SPK_WINE,2.0,180.8,1045.6,-22.4,2.0,1.2,0.1
D12_T_CANNON_D,SPK_TOLGA,2.0,192.8,1321.6,-21.0,2.0,0.1,0.3
D14_N_RESIGN_2,SPK_NIHAT,2.0,250.0,1291.8,-21.8,2.0,0.8,0.2
D7_N_GIUST_ASK,SPK_NIHAT,2.0,188.2,1415.1,-22.8,0.5,2.5,0.5
D7_N_HOLO_CELL,SPK_NIHAT,2.0,250.0,1212.4,-23.5,2.0,0.3,0.9
D7_N_HOLO_KITCHEN,SPK_NIHAT,2.0,250.0,1272.4,-22.5,2.0,0.5,0.2
ITEM_SHOW_PERSON,SPK_TOLGA,2.0,192.8,1342.7,-21.1,2.0,0.0,0.2
REACT_CALLIGRAPHER_CUBE,SPK_CALLIGRAPHER,2.0,108.1,1086.2,-20.0,2.0,0.0,0.5
D12_F_ITEM_SELFIE,SPK_FATIH,1.9,139.7,894.2,-21.5,1.9,0.7,0.2
REACT_THEODOROS_BOOK,SPK_THEODOROS,1.9,115.4,1376.1,-25.4,1.9,1.1,0.8
D10H_T_K_DONE,SPK_TOLGA,1.9,155.3,1378.8,-16.7,0.5,0.3,3.2
D11_N_RUN_OK,SPK_NIHAT,1.9,169.3,1054.5,-21.4,0.0,2.4,0.5
D2_S_ROPE,SPK_SOLDIER,1.9,363.6,2650.9,-14.5,1.9,1.8,1.1
D5_V_3,SPK_VAN,1.9,285.7,1767.6,-24.1,1.9,0.0,0.3
D5_T_ACCIDENT_CHICKEN,SPK_TOLGA,1.9,191.6,1433.3,-20.9,1.9,0.7,0.4
D7_HASAN_LIE,SPK_HASAN,1.9,205.1,1777.8,-27.3,1.9,0.2,2.6
D10H_H_RADIO_SAVE,SPK_HIKMET,1.9,296.3,1808.1,-20.2,0.9,2.4,0.1
D10H_L_ANSWER,SPK_LUTFI,1.9,170.2,1532.7,-24.6,0.8,2.4,1.2
D15_S_W10,SPK_TOLGA,1.9,170.2,1668.9,-19.5,1.1,2.4,1.3
D9_THEO_1,SPK_THEODOROS,1.9,112.7,1227.4,-17.0,1.6,1.6,3.2
D10G_D_3,SPK_DOUBLE,1.9,252.0,2249.1,-21.2,0.0,2.4,0.5
D10G_N_1,SPK_NOTARY,1.9,181.9,1015.6,-25.2,0.1,1.6,3.2
D1_H_IDLE_2,SPK_HIKMET,1.9,301.9,1809.7,-15.3,0.6,2.4,3.1
D7_M_WALL_TORN,SPK_MUFIDE,1.9,280.7,1349.0,-21.4,1.9,1.2,0.3
D10G_C_EARLY,SPK_CAPTAIN,1.9,320.0,1931.0,-18.3,1.9,0.4,0.0
D10O_G_LIFT,SPK_HASAN,1.9,206.5,1561.7,-26.2,1.9,1.2,2.0
D12_F_CUBE_2,SPK_FATIH,1.9,103.2,1149.5,-24.0,0.8,2.4,1.3
D4A_HU_ARGUE_6,SPK_HUSEYIN,1.9,340.6,1551.7,-20.6,1.9,0.5,1.1
D9_LUTFI_TR3,SPK_LUTFI,1.9,139.1,929.5,-24.5,0.4,2.4,1.2
D10L_G_MEET_4,SPK_GRANT,1.9,133.3,1287.7,-23.9,1.9,0.4,0.4
D2_H_02,SPK_HIKMET,1.9,313.7,1816.1,-19.5,0.0,2.4,0.4
D3_N_16,SPK_NIHAT,1.9,140.4,1407.2,-21.4,0.7,2.4,0.5
D13_T_PRESSED,SPK_TOLGA,1.9,190.5,1452.7,-19.2,1.9,0.8,1.5
D14_NN_4,SPK_NIHAT,1.9,246.2,1173.8,-22.5,1.9,0.8,0.3
D7_N_SENT,SPK_NIHAT,1.9,246.2,1108.7,-21.3,1.9,1.7,0.6
D8_N_CALL_2,SPK_NIHAT,1.9,246.2,1209.4,-22.0,1.9,0.3,0.1
D4A_HA_STOP_NOFEZ,SPK_HASAN,1.9,307.7,2291.1,-20.4,0.6,2.3,1.3
D10B_U_CALC_OK,SPK_URBAN,1.9,355.6,2117.7,-18.7,1.9,0.6,0.9
D10O_A_ITEM_THERMOS,SPK_AGA,1.9,296.3,1815.2,-21.8,1.9,0.0,0.0
D10O_A_Q3_LUCKY,SPK_AGA,1.9,296.3,1785.7,-23.6,1.9,0.3,1.1
REACT_AGA_PHONE,SPK_AGA,1.9,296.3,1653.5,-25.9,1.9,1.5,2.7
D2_HA_13,SPK_HASAN,1.8,355.6,2219.5,-18.0,1.8,2.0,2.6
D4A_ITEM_PHONE_1,SPK_HASAN,1.8,355.6,2088.5,-21.1,1.8,1.3,0.9
REACT_GUARDS_SELFIE,SPK_HASAN,1.8,246.2,1346.2,-24.2,0.9,2.3,0.8
D3_H_END_33,SPK_HIKMET,1.8,313.7,1957.1,-15.5,0.0,1.6,3.0
D9_T_P_4,SPK_TOLGA,1.8,189.4,1361.3,-21.3,1.8,0.2,0.1
REACT_PAINTER_PHONE,SPK_PAINTER,1.8,110.3,1674.6,-23.8,1.8,0.7,0.3
D10A_F_REFUSE,SPK_FATIH,1.8,114.3,1141.9,-18.1,0.0,2.3,1.3
D4A_ITEM_CUBE_1,SPK_HASAN,1.8,256.0,2281.3,-25.6,0.7,2.3,1.6
REACT_NOTARY_CHICKPEAS,SPK_NOTARY,1.8,160.8,1253.3,-20.4,1.8,0.6,0.2
D10Z_H_FIRE,SPK_HIKMET,1.8,347.8,2152.2,-21.2,1.8,0.6,0.8
D13_H_TOG_1,SPK_HIKMET,1.8,347.8,2329.2,-18.7,1.8,0.3,0.9
D13_H_WRONG,SPK_HIKMET,1.8,347.8,2379.9,-20.1,1.8,0.6,0.1
D15_G_W11,SPK_HIKMET,1.8,347.8,2200.4,-18.4,1.8,0.3,1.1
D5_H_END,SPK_HIKMET,1.8,347.8,2409.0,-18.6,1.8,0.8,1.0
D5_H_FOUND_CALENDAR,SPK_HIKMET,1.8,347.8,2526.4,-20.4,1.8,1.4,0.3
