anahtar,bolum,konusmaci,ton,ton_elle,tr,en,kaynak
REACT_AGA_TAPE,,SPK_AGA,,0,"""Ağzımı bantlamayı aklından bile geçirme. Denediler.""","""Don't even think about taping my mouth. It's been tried.""",eşya
REACT_AGA_THERMOS,,SPK_AGA,,0,"""Sorulardan önce bir yudum. ...Güzel. Şimdi üç soru.""","""A sip before the questions. ...Lovely. Now: three questions.""",eşya
REACT_CALLIGRAPHER_BOOK,,SPK_CALLIGRAPHER,,0,Harfleri makine yazmış. Hepsi aynı. Hiçbiri güzel değil.,A machine wrote these letters. All the same. None of them beautiful.,eşya
REACT_CALLIGRAPHER_CHICKPEAS,,SPK_CALLIGRAPHER,,0,"(Yer) Kalemimi bıraktım. Bu, benim için büyük bir iltifat.","(Eats) I put down my pen. For me, that is a great compliment.",eşya
REACT_CALLIGRAPHER_COLOGNE,,SPK_CALLIGRAPHER,,0,Kolonya kâğıda damlarsa mürekkep dağılır. Sen ellerine dök. Ben kalbime dökerim.,If cologne drips on the paper the ink runs. You pour it on your hands. I'll pour it on my heart.,eşya
REACT_CALLIGRAPHER_CUBE,,SPK_CALLIGRAPHER,,0,"Altı yüz, dokuz göz. Hat gibi: her yüzün bir kuralı var. Ben çözmem, ama takdir ederim.","Six faces, nine squares. Like calligraphy: every face has a rule. I won't solve it, but I respect it.",eşya
REACT_CALLIGRAPHER_LIGHTER,,SPK_CALLIGRAPHER,,0,Mumdan beter. Kâğıtlarımın yanına yaklaştırma.,Worse than a candle. Keep it away from my papers.,eşya
REACT_CALLIGRAPHER_PHONE,,SPK_CALLIGRAPHER,,0,Işıklı bir levha. Üstünde yazı var ama mürekkep yok. Bu bir hakaret.,A glowing tablet. There's writing on it but no ink. This is an insult.,eşya
REACT_CALLIGRAPHER_POWERBANK,,SPK_CALLIGRAPHER,,0,"Ağır bir hokka. Mürekkebi nerede? Yok mu? Boş hokka taşıyan adam, garip adam.",A heavy inkwell. Where's the ink? None? A man carrying an empty inkwell is a strange man.,eşya
REACT_CALLIGRAPHER_SELFIE,,SPK_CALLIGRAPHER,,0,Resmimi mi? Resim yasak değil ama elimi çek. Harf yarım kalır.,"My picture? Pictures aren't forbidden, but don't move my hand. The letter will stay half-done.",eşya
REACT_CALLIGRAPHER_TAPE,,SPK_CALLIGRAPHER,[hesitant],0,"Kâğıdı yapıştırmak mı? Kâğıt yapıştırılmaz, yazılır. ...Ama yırtılan fermanlar için... bir parça kes.","Taping paper? Paper is written on, not taped. ...But for torn decrees... cut me a strip.",eşya
REACT_CALLIGRAPHER_THERMOS,,SPK_CALLIGRAPHER,,0,Çay. Mürekkep kadar koyu değil ama el titremesine iyi gelir.,"Tea. Not as dark as ink, but good for a steady hand.",eşya
REACT_CAMELEER_BOOK,,SPK_CAMELEER,,0,"Deve resmi var mı? Yok mu? Kırk okkalık deve, kimsenin kitabına girmiyor. Haksızlık.",Any camels in there? No? A forty-okka camel and nobody puts it in a book. Unfair.,eşya
REACT_CAMELEER_CHICKPEAS,,SPK_CAMELEER,,0,"Leblebi! Deveye vermeyeyim, deve leblebiyi sever, sonra kırk bir okka olur, Ağa'nın cevabı değişir.","Chickpeas! Mustn't feed the camel, it loves them, then it's forty-one okka and the Ağa's answer changes.",eşya
REACT_CAMELEER_COLOGNE,,SPK_CAMELEER,[shouting],0,(Koklar) Deve kokusu gitti! Üç gündür gitmiyordu! Bu ne büyü!,(Sniffs) The camel smell is gone! It's been three days! What sorcery!,eşya
REACT_CAMELEER_CUBE,,SPK_CAMELEER,,0,Altı yüzü var. Devenin kaç yüzü var? Bir. Ama iki hörgücü var. İnşallah Ağa bunu sormaz.,Six faces. How many faces does a camel have? One. But two humps. I hope the Ağa doesn't ask that.,eşya
REACT_CAMELEER_LIGHTER,,SPK_CAMELEER,,0,Çakmaktaşı bu kadar küçük olur mu? Benimki deve kadar... yani deve kadar değil. Heyecandan.,"A flint this small? Mine's as big as a camel... I mean, not as big as a camel. Excitement.",eşya
REACT_CAMELEER_PHONE,,SPK_CAMELEER,,0,Işıklı taş! Deveye göstersem deve şaşırır mı? Şaşırmaz. Deve hiçbir şeye şaşırmaz. Ben şaşırırım.,"A glowing stone! Would my camel be amazed? No. Camels are never amazed. I am, though.",eşya
REACT_CAMELEER_POWERBANK,,SPK_CAMELEER,,0,Ağır mı bu? Kaç okka? (Tartar) Deveye yük olmaz. Bana olur.,Is it heavy? How many okka? (Weighs it) Not a load for a camel. It is for me.,eşya
REACT_CAMELEER_SELFIE,,SPK_CAMELEER,,0,"Resmimi mi yaptın? Deveyi de yap! Deve resimde iyi çıkar. Ben çıkmam, heyecandan.",You made my picture? Do the camel too! The camel comes out well. I don't. Excitement.,eşya
REACT_CAMELEER_TAPE,,SPK_CAMELEER,,0,Bununla devenin yularını bağlasam kopmaz mı? Kopmaz mı? Heyecanlandım.,"If I tied the camel's halter with this, it wouldn't snap? It wouldn't? I'm excited.",eşya
REACT_CAMELEER_THERMOS,,SPK_CAMELEER,,0,Sıcak çay! Çölde bu olsa... Ben çöle hiç gitmedim. Deve gitti. Ben dinledim.,Hot tea! If only I had this in the desert... I've never been to the desert. The camel has. I listened.,eşya
REACT_CANDARLI_BOOK,,SPK_CANDARLI,,0,"(Bakar, kapatır) Bazı şeyleri bilmek, bilmemekten ağırdır. Bu kitap çok ağır.","(Glances, shuts it) Some knowledge weighs more than ignorance. This book is very heavy.",eşya
REACT_CANDARLI_CHICKPEAS,,SPK_CANDARLI,[whispers],0,(Fısıldar) Çıtırdatma. Duvarların kulağı var. Çadırların da. Keçilerin de.,(Whispers) Don't crunch. Walls have ears. So do tents. And goats.,eşya
REACT_CANDARLI_COLOGNE,,SPK_CANDARLI,,0,Kokun seni ele verir. Gizli buluşmaya limon kokarak gelinmez.,Your scent gives you away. One does not come to a secret meeting smelling of lemons.,eşya
REACT_CANDARLI_CUBE,,SPK_CANDARLI,[whispers],0,(Fısıldar) Karışık bir şey. Karışık şeyleri severim. Kimse neyin nerede olduğunu bilmez.,(Whispers) A tangled thing. I like tangled things. Nobody knows where anything is.,eşya
REACT_CANDARLI_LIGHTER,,SPK_CANDARLI,[whispers],0,(Fısıldar) Yakarsan yüzümü görürsün. Yüzümü görürsen... aslında bir şey olmaz. Ama olmasın.,"(Whispers) Light that and you'll see my face. And if you see my face... nothing happens, really. But let's not.",eşya
REACT_CANDARLI_PHONE,,SPK_CANDARLI,[whispers],0,(Fısıldar) Işığı söndür. Kukuletanın bir anlamı kalmıyor.,(Whispers) Put out that light. It makes the hood pointless.,eşya
REACT_CANDARLI_POWERBANK,,SPK_CANDARLI,,0,Mühürlü bir kutu. İçini sormayacağım. Sen de benimkini sorma.,A sealed box. I won't ask what's inside. Don't ask about mine.,eşya
REACT_CANDARLI_SELFIE,,SPK_CANDARLI,,0,(Kukuletayı indirir) Resmimi yapma. ...Yaptın mı? Sadece kukuleta çıktı. İyi.,(Pulls the hood lower) No pictures. ...Did you take one? Only the hood came out. Good.,eşya
REACT_CANDARLI_TAPE,,SPK_CANDARLI,,0,Ağzını bununla kapatabilirsin. Bu ordugâhın en çok ihtiyacı olan şey bu.,You could seal your mouth with that. It's what this camp needs most.,eşya
REACT_CANDARLI_THERMOS,,SPK_CANDARLI,,0,(Kukuletanın altından bir yudum) ...İki şeker. Demek kim olduğumu biliyorsun.,(A sip from under the hood) ...Two sugars. So you know who I am.,eşya
REACT_CLERK_BOOK,,SPK_CLERK,,0,[Yunanca] Kitap mı? Katalog numarası? Yok mu? Arşiv bunu kabul etmez. Ben de etmem.,[Greek] A book? Catalogue number? None? The archive won't accept it. Neither will I.,eşya
REACT_CLERK_CHICKPEAS,,SPK_CLERK,,0,[Yunanca] Gişede yemek yenmez. (Bir tane alır) ...Bu bir numune. Numuneler incelenir.,[Greek] No eating at the counter. (Takes one) ...This is a sample. Samples are examined.,eşya
REACT_CLERK_COLOGNE,,SPK_CLERK,,0,[Yunanca] Limon mu? Bizans'ta memur kokmaz. Kokulu memur rüşvet almıştır.,[Greek] Lemon? Byzantine clerks don't smell of anything. A fragrant clerk has taken a bribe.,eşya
REACT_CLERK_CUBE,,SPK_CLERK,,0,"[Yunanca] Altı daire, dokuz şube, hepsi karışık. Tıpkı bizim teşkilat şeması.","[Greek] Six departments, nine sub-departments, all in disarray. Just like our organisational chart.",eşya
REACT_CLERK_LIGHTER,,SPK_CLERK,,0,[Yunanca] Kançılaryada ateş yasaktır. 1204'ten beri. Sebebini sorma.,[Greek] Fire is forbidden in the chancery. Since 1204. Do not ask why.,eşya
REACT_CLERK_PHONE,,SPK_CLERK,,0,"[Yunanca] Işıklı dilekçe. Kabul edilmez. Dilekçeler mürekkeple, üç nüsha, sırayla verilir.","[Greek] An illuminated petition. Not accepted. Petitions are submitted in ink, in triplicate, in order.",eşya
REACT_CLERK_POWERBANK,,SPK_CLERK,,0,[Yunanca] Ağırlık vergisi. Okka başına bir follis. Bu... yarım follis. Yuvarlıyoruz: bir follis.,[Greek] Weight tax. One follis per okka. This is... half a follis. We round up: one follis.,eşya
